id,step,step_name,cluster,title,idea
S4-09,4,일정재확인,열린 후보 탐색,빠른 날짜부터 보기,열린 후보를 날짜순으로 보여준다. 선택과 희망 순위는 고객이 정한다.
S4-10,4,일정재확인,열린 후보 탐색,선택 중 최신 상태 확인,다른 화면을 보고 돌아왔을 때 후보 마감 여부를 다시 조회해 보여준다.
S5-01,5,재선택제출,반복 입력 줄이기,상담 목적 이어쓰기,이미 적은 서점 상황과 질문을 재선택 화면에도 유지한다.
S5-02,5,재선택제출,반복 입력 줄이기,기존 후보 비교 영역,지난 후보와 이번 후보를 나란히 보여준다. 지난 후보는 변경하지 않는다.
S5-03,5,재선택제출,반복 입력 줄이기,새 후보 초안 저장,재제출 전 선택을 저장해 화면을 닫아도 이어서 고르게 한다.
S5-04,5,재선택제출,변경 내용 확인,바뀐 날짜만 강조,기존 신청과 달라진 날짜·시간·순위를 제출 전에 강조한다.
S5-05,5,재선택제출,변경 내용 확인,기한까지 하루 남음 안내,새 후보가 인수인계 전날이면 고객에게 그 날짜 차이를 보여준다.
S5-06,5,재선택제출,변경 내용 확인,이번 희망 순위 확인,새로 선택한 후보의 1·2·3순위를 제출 직전에 명확히 확인한다.
S5-07,5,재선택제출,변경 내용 확인,제출 완료 확인 카드,새 버전이 접수됐다는 결과와 제출한 후보를 한 장으로 보여준다.
S5-08,5,재선택제출,재접수와 확정 구분,재제출 후 기다릴 일 안내,새 후보도 관리자가 선택해야 확정됨을 접수 결과에 적는다.
S5-09,5,재선택제출,재접수와 확정 구분,고객에게 재접수 사본 보내기,새 후보와 접수 상태를 이메일로 보내 다시 입력할 필요가 없게 한다.
S5-10,5,재선택제출,재접수와 확정 구분,관리자에게 변경 내용 전달,Slack에 변경 후보와 고객 기한을 알린다. 기존 새 접수 순번은 유지한다.
S6-01,6,확정대기,반복 확인 줄이기,확정 시 고객 알림,확정 처리가 성공한 뒤 고객 이메일로 정해진 날짜와 시간을 보낸다.
S6-02,6,확정대기,반복 확인 줄이기,내 신청 상태 바로보기,앱 첫 화면에서 본인 신청 상태를 바로 읽게 한다.
S6-03,6,확정대기,반복 확인 줄이기,알림 수신 여부 표시,고객이 확정 알림을 받도록 설정했는지 신청 화면에 표시한다.
S6-04,6,확정대기,반복 확인 줄이기,정해 둔 시각에 확인 알림,고객이 고른 시각에 상태 확인을 기억하도록 알린다. 확정 알림과 구분한다.
S6-05,6,확정대기,기한 있는 대기 관리,관리자 기한 배지,점주가 떠나는 날짜와 상담 후보를 관리자 목록에 함께 보여준다.
S6-06,6,확정대기,기한 있는 대기 관리,오래 기다린 신청 알림,미확정 상태가 정해진 시간을 넘으면 관리자 Slack에 확인을 요청한다.
S6-07,6,확정대기,기한 있는 대기 관리,후보 시작 전 관리자 점검,상담 후보 시간이 가까워진 미확정 신청을 관리자가 다시 확인하도록 모은다.
S6-08,6,확정대기,기다리는 동안 준비,점주에게 받을 자료 메모,상담을 기다리며 알고 있는 재고·주문 자료와 질문을 정리하도록 돕는다.
S6-09,6,확정대기,기다리는 동안 준비,확정되면 할 일 목록,"확정 후 상담 준비, 상담 후 자료 요청의 순서를 고객이 적어 둔다."
S6-10,6,확정대기,기다리는 동안 준비,아직 미확정이라는 일정 메모,개인 일정용 메모에 상담 후보를 표시하되 예약 미확정임을 크게 적는다.
